id,smarts,entry_id,mechanism_id
88,[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[N&D2&v3&H1&0*&!R:3].[O&D0&v2&H2&0*&!R:4]>>[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[O&D1&v2&H1&0*&!R:4].[N&D1&v3&H2&0*&!R:3],"[168, 177, 238, 595, 609, 676, 688, 706, 718, 724, 731, 746, 747, 789, 830]","[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]"
89,[N&D2&v3&H1&0*&!R:1]-[C&D3&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:3].[O&D0&v2&H2&0*&!R:4]>>[C&D3&v4&H0&0*&!R&z2:2](=[O&D1&v2&H0&0*&!R:3])-[O&D1&v2&H1&0*&!R:4].[N&D1&v3&H2&0*&!R:1],"[172, 266, 798, 998]","[1, 1, 1, 1]"
90,[*:1](~[O&D1&v2&H0&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4]-[O&D2&v2&H0&0*&!R:5]-[P&D4&v5&H0&0*&!R:6](=[O&D1&v2&H0&0*&!R:7])(-[O&D1&v2&H1&0*&!R:8])-[O&D1&v2&H1&0*&!R:9].[O&D0&v2&H2&0*&!R:10]>>[*:1](~[O&D1&v2&H0&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4]-[O&D1&v2&H1&0*&!R:10].[O&D1&v2&H0&0*&!R:7]=[P&D4&v5&H0&0*&!R:6](-[O&D1&v2&H1&0*&!R:5])(-[O&D1&v2&H1&0*&!R:8])-[O&D1&v2&H1&0*&!R:9],[178],[2]
91,[*:1](~[O&D1&v2&H0&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4]-[O&D2&v2&H0&0*&!R:5]-[P&D4&v5&H0&0*&!R:6](=[O&D1&v2&H0&0*&!R:7])-[O&D1&v2&H1&0*&!R:8].[O&D0&v2&H2&0*&!R:9]>>[*:1](~[O&D1&v2&H0&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4]-[O&D1&v2&H1&0*&!R:9].[O&D1&v2&H0&0*&!R:7]=[P&D4&v5&H0&0*&!R:6](-[O&D1&v2&H1&0*&!R:5])-[O&D1&v2&H1&0*&!R:8],[179],[1]
92,[*:1](~[O&D1&v2&H0&0*&!R:2])~[*:3]~[*:4]~[O&D1&v2&H1&0*&!R:5].[P&D4&v5&H0&0*&!R:6]-[O&D1&v2&H1&0*&!R:7]>>[*:1](~[O&D1&v2&H0&0*&!R:2])~[*:3]~[*:4]~[O&D2&v2&H0&0*&!R:5]-[P&D4&v5&H0&0*&!R:6].[O&D0&v2&H2&0*&!R:7],[179],[1]
93,[C&D3&v4&H0&0*&!R&z1:1](=[O&D1&v2&H0&0*&!R:2])-[C&D2&v4&H2&0*&!R&z0:3].[O&D0&v2&H2&0*&!R:4]>>[C&D1&v4&H3&0*&!R&z0:3].[O&D1&v2&H0&0*&!R:2]=[C&D3&v4&H0&0*&!R&z2:1]-[O&D1&v2&H1&0*&!R:4],[180],[1]
94,[O&D0&v2&H2&0*&!R:1].[O&D1&v2&H0&0*&!R:2]=[C&D2&v4&H1&0*&!R&z1:3]-[C&D2&v4&H2&0*&!R&z1:4]-[P&D4&v5&H0&0*&!R:5]=[O&D1&v2&H0&0*&!R:6]>>[C&D1&v4&H3&0*&!R&z0:4]-[C&D2&v4&H1&0*&!R&z1:3]=[O&D1&v2&H0&0*&!R:2].[O&D1&v2&H0&0*&!R:6]=[P&D4&v5&H0&0*&!R:5]-[O&D1&v2&H1&0*&!R:1],[181],[1]
95,[C&D4&v4&H0&0*&!R&z1:1](-[O&D1&v2&H1&0*&!R:2])-[C&D3&v4&H1&0*&!R&z0:3]-[C&D3&v4&H0&0*&!R&z2:4]=[O&D1&v2&H0&0*&!R:5]>>[C&D3&v4&H0&0*&!R&z1:1]=[O&D1&v2&H0&0*&!R:2].[O&D1&v2&H0&0*&!R:5]=[C&D3&v4&H0&0*&!R&z2:4]-[C&D2&v4&H2&0*&!R&z0:3],"[182, 182, 182, 182]","[1, 2, 3, 4]"
96,[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&!R&z1:2]-[C&D2&v4&H2&0*&!R&z1:3]-[O&D1&v2&H1&0*&!R:4]>>[C&D1&v4&H3&0*&!R&z0:3]-[C&D3&v4&H0&0*&!R&z1:2]=[O&D1&v2&H0&0*&!R:4].[N&D0&v3&H3&0*&!R:1],"[186, 956, 956]","[1, 1, 2]"
97,[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D3&v4&H1&0*&!R&z1:4]-[c&D3&v4&H0&0*&R&z0:5]:[c&D2&v4&H1&0*&R&z0:6]>>[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D3&v4&H1&0*&!R&z1:4]-[c&D3&v4&H0&0*&R&z0:6]:[c&D2&v4&H1&0*&R&z0:5],"[187, 187]","[1, 1]"
98,[C&D1&v4&H2&0*&!R&z0:1]=[C&D3&v4&H0&0*&!R&z0:2]-[C&D2&v4&H2&0*&!R&z0:3]~[*:4]~[*:5]~[*:6](~[O&D1&v2&H1&0*&!R:7])~[*:8]~[*:9]~[O&D1&v2&H1&0*&!R:10]>>[C&D1&v4&H3&0*&!R&z0:1]-[C&D3&v4&H0&0*&!R&z0:2]=[C&D2&v4&H1&0*&!R&z0:3]~[*:4]~[*:5]~[*:6](~[O&D1&v2&H1&0*&!R:7])~[*:8]~[*:9]~[O&D1&v2&H1&0*&!R:10],[190],[1]
99,[C&D3&v4&H1&0*&R&z1:1]-[O&D2&v2&H0&0*&R:2]-[O&D2&v2&H0&0*&R:3]-[C&D3&v4&H1&0*&R&z1:4]>>([C&D3&v4&H0&0*&R&z1:4]=[O&D1&v2&H0&0*&!R:3].[C&D3&v4&H1&0*&R&z1:1]-[O&D1&v2&H1&0*&!R:2]),"[192, 192]","[2, 1]"
100,([O&D1&v2&H1&0*&!R:1].[P&D4&v5&H0&0*&!R:2]-[O&D2&v2&H0&0*&!R:3])>>([O&D1&v2&H1&0*&!R:3].[P&D4&v5&H0&0*&!R:2]-[O&D2&v2&H0&0*&!R:1]),[194],[1]
101,[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&!R&z1:2](-[C&D2&v4&H1&0*&!R&z1:3]=[O&D1&v2&H0&0*&!R:4])-[C&D2&v4&H2&0*&!R&z0:5]>>[N&D1&v3&H2&0*&!R:1]-[C&D2&v4&H2&0*&!R&z1:2]-[C&D3&v4&H0&0*&!R&z1:3](=[O&D1&v2&H0&0*&!R:4])-[C&D2&v4&H2&0*&!R&z0:5],[195],[1]
102,([C&D2&v4&H1&0*&!R&z0:1]=[C&D2&v4&H1&0*&!R&z0:2].[O&D1&v2&H1&0*&!R:3])>>[C&D2&v4&H2&0*&R&z0:1]-[C&D3&v4&H1&0*&R&z1:2]-[O&D2&v2&H0&0*&R:3],[196],[1]
103,[*:1](~[O&D1&v2&H1&0*&!R:2])~[C&D3&v4&H1&0*&R&z1:3]-[O&D1&v2&H1&0*&!R:4].[C&D3&v4&H0&0*&!R&z2:5]-[O&D1&v2&H1&0*&!R:6].[P&D4&v5&H0&0*&!R:7](-[O&D1&v2&H1&0*&!R:8])-[O&D2&v2&H0&0*&!R:9]~[*:10]~[*:11]~[*:12]~[O&D1&v2&H1&0*&!R:13]>>[*:10](~[O&D1&v2&H1&0*&!R:9])~[*:11]~[*:12]~[O&D1&v2&H1&0*&!R:13].[*:1](~[O&D1&v2&H1&0*&!R:2])~[C&D3&v4&H1&0*&R&z1:3]-[O&D2&v2&H0&0*&!R:6]-[C&D3&v4&H0&0*&!R&z2:5].[P&D4&v5&H0&0*&!R:7](-[O&D1&v2&H1&0*&!R:4])-[O&D1&v2&H1&0*&!R:8],[197],[1]
104,[C&D3&v4&H0&0*&!R&z3:1]-[O&D1&v2&H1&0*&!R:2].[P&D4&v5&H0&0*&!R:3](=[O&D1&v2&H0&0*&!R:4])(-[O&D1&v2&H1&0*&!R:5])-[O&D2&v2&H0&0*&!R:6].[S&D1&v2&H1&0*&!R:7]>>[C&D3&v4&H0&0*&!R&z3:1]-[S&D2&v2&H0&0*&!R:7].[O&D1&v2&H1&0*&!R:6].[P&D4&v5&H0&0*&!R:3](=[O&D1&v2&H0&0*&!R:4])(-[O&D1&v2&H1&0*&!R:2])-[O&D1&v2&H1&0*&!R:5],[198],[1]
105,[*:1](~[O&D1&v2&H0&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4](=[O&D1&v2&H0&0*&!R:5])-[O&D2&v2&H0&0*&!R:6]-[P&D4&v5&H0&0*&!R:7]-[O&D1&v2&H1&0*&!R:8].[C&D3&v4&H0&0*&!R&z2:9](=[O&D1&v2&H0&0*&!R:10])-[O&D1&v2&H1&0*&!R:11].[N&D1&v3&H2&0*&!R:12]>>[*:1](~[O&D1&v2&H0&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4](=[O&D1&v2&H0&0*&!R:5])-[O&D1&v2&H1&0*&!R:11].[C&D3&v4&H0&0*&!R&z2:9](=[O&D1&v2&H0&0*&!R:10])-[N&D2&v3&H1&0*&!R:12].[P&D4&v5&H0&0*&!R:7](-[O&D1&v2&H1&0*&!R:6])-[O&D1&v2&H1&0*&!R:8],[199],[1]
106,[*:1](~[O&D1&v2&H0&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4](=[O&D1&v2&H0&0*&!R:5])-[O&D1&v2&H1&0*&!R:6].[C&D3&v4&H0&0*&!R&z2:7]-[N&D2&v3&H1&0*&!R:8].[O&D1&v2&H1&0*&!R:9]>>[*:1](~[O&D1&v2&H0&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4](=[O&D1&v2&H0&0*&!R:5])-[O&D2&v2&H0&0*&!R:9].[C&D3&v4&H0&0*&!R&z2:7]-[O&D1&v2&H1&0*&!R:6].[N&D1&v3&H2&0*&!R:8],[199],[1]
107,[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[O&D1&v2&H1&0*&!R:3].[N&D0&v3&H3&0*&!R:4].[P&D4&v5&H0&0*&!R:5](=[O&D1&v2&H0&0*&!R:6])-[O&D2&v2&H0&0*&!R:7]~[*:8](~[O&D1&v2&H1&0*&!R:9])~[*:10]~[*:11](~[O&D1&v2&H1&0*&!R:12])~[O&D1&v2&H1&0*&!R:13]>>[*:8](~[O&D1&v2&H1&0*&!R:7])(~[O&D1&v2&H1&0*&!R:9])~[*:10]~[*:11](~[O&D1&v2&H1&0*&!R:12])~[O&D1&v2&H1&0*&!R:13].[N&D1&v3&H2&0*&!R:4]-[C&D3&v4&H0&0*&!R&z2:1]=[O&D1&v2&H0&0*&!R:2].[P&D4&v5&H0&0*&!R:5](=[O&D1&v2&H0&0*&!R:6])-[O&D1&v2&H1&0*&!R:3],[200],[1]
108,[*:1](~[O&D1&v2&H0&0*&!R:2])~[O&D1&v2&H1&0*&!R:3].[N&D1&v3&H2&0*&!R:4]-[C&D3&v4&H0&0*&!R&z2:5].[P&D4&v5&H0&0*&!R:6](-[O&D1&v2&H1&0*&!R:7])(-[O&D1&v2&H1&0*&!R:8])~[*:9]~[*:10](~[O&D1&v2&H1&0*&!R:11])~[O&D1&v2&H1&0*&!R:12]>>[*:1](~[O&D1&v2&H0&0*&!R:2])~[O&D2&v2&H0&0*&!R:3]-[P&D4&v5&H0&0*&!R:6](-[O&D1&v2&H1&0*&!R:8])~[*:9]~[*:10](~[O&D1&v2&H1&0*&!R:11])~[O&D1&v2&H1&0*&!R:12].[C&D3&v4&H0&0*&!R&z2:5]-[O&D1&v2&H1&0*&!R:7].[N&D0&v3&H3&0*&!R:4],[200],[1]
109,[*:1](~[O&D1&v2&H1&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4](-[O&D1&v2&H1&0*&!R:5])-[O&D2&v2&H0&0*&!R:6]-[P&D4&v5&H0&0*&!R:7]-[O&D1&v2&H1&0*&!R:8].[C&D2&v4&H2&0*&!R&z0:9]-[C&D3&v4&H0&0*&!R&z2:10]=[O&D1&v2&H0&0*&!R:11].[O&D1&v2&H0&0*&!R:12]=[C&D3&v4&H0&0*&!R&z3:13](-[O&D1&v2&H1&0*&!R:14])-[O&D1&v2&H1&0*&!R:15]>>[*:1](~[O&D1&v2&H1&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4](-[O&D1&v2&H1&0*&!R:14])-[O&D1&v2&H1&0*&!R:5].[C&D3&v4&H1&0*&!R&z0:9](-[C&D3&v4&H0&0*&!R&z2:13](=[O&D1&v2&H0&0*&!R:12])-[O&D1&v2&H1&0*&!R:15])-[C&D3&v4&H0&0*&!R&z2:10]=[O&D1&v2&H0&0*&!R:11].[P&D4&v5&H0&0*&!R:7](-[O&D1&v2&H1&0*&!R:6])-[O&D1&v2&H1&0*&!R:8],[201],[1]
110,[*:1](~[O&D1&v2&H1&0*&!R:2])~[*:3]~[*:4]~[O&D1&v2&H1&0*&!R:5].[C&D3&v4&H1&0*&!R&z0:6]-[C&D3&v4&H0&0*&!R&z2:7].[P&D4&v5&H0&0*&!R:8](-[O&D1&v2&H1&0*&!R:9])-[O&D1&v2&H1&0*&!R:10]>>[*:1](~[O&D1&v2&H1&0*&!R:2])~[*:3]~[*:4]~[O&D2&v2&H0&0*&!R:5]-[P&D4&v5&H0&0*&!R:8]-[O&D1&v2&H1&0*&!R:10].[C&D2&v4&H2&0*&!R&z0:6].[C&D3&v4&H0&0*&!R&z3:7]-[O&D1&v2&H1&0*&!R:9],[201],[1]
111,[C&D3&v4&H1&0*&R&z1:1]-[O&D2&v2&H0&0*&!R:2]-[C&D3&v4&H1&0*&R&z2:3].[O&D0&v2&H2&0*&!R:4]>>[C&D3&v4&H1&0*&R&z1:1]-[O&D1&v2&H1&0*&!R:4].[C&D3&v4&H1&0*&R&z2:3]-[O&D1&v2&H1&0*&!R:2],[203],[1]
112,[C&D3&v4&H1&0*&R&z1:1]-[O&D2&v2&H0&0*&!R:2]-[C&D3&v4&H1&0*&R&z2:3]-[O&D2&v2&H0&0*&R:4].[O&D0&v2&H2&0*&!R:5]>>[C&D3&v4&H1&0*&R&z1:1]-[O&D1&v2&H1&0*&!R:5].[C&D3&v4&H1&0*&R&z2:3](-[O&D1&v2&H1&0*&!R:2])-[O&D2&v2&H0&0*&R:4],"[203, 774, 819]","[2, 1, 1]"
113,([O&D1&v2&H0&0*&!R:1]=[P&D4&v5&H0&0*&!R:2](-[O&D1&v2&H1&0*&!R:3])-[O&D2&v2&H0&0*&!R:4].[O&D1&v2&H1&0*&!R:5])>>([O&D1&v2&H0&0*&!R:1]=[P&D4&v5&H0&0*&!R:2](-[O&D1&v2&H1&0*&!R:3])-[O&D2&v2&H0&0*&!R:5].[O&D1&v2&H1&0*&!R:4]),[206],[1]
114,[C&D3&v4&H0&0*&!R&z1:1](=[O&D1&v2&H0&0*&!R:2])-[C&D3&v4&H0&0*&!R&z2:3]-[O&D1&v2&H1&0*&!R:4]>>[C&D2&v4&H1&0*&!R&z1:1]=[O&D1&v2&H0&0*&!R:2].[O&D1&v2&H0&0*&!R:4]=[C&D2&v4&H0&0*&!R&z2:3],[215],[1]
115,[O&D0&v2&H2&0*&!R:1].[O&D1&v2&H0&0*&!R:2]=[C&D2&v4&H0&0*&!R&z2:3]=[O&D1&v2&H0&0*&!R:4]>>[O&D1&v2&H0&0*&!R:4]=[C&D3&v4&H0&0*&!R&z3:3](-[O&D1&v2&H1&0*&!R:2])-[O&D1&v2&H1&0*&!R:1],"[216, 516, 517]","[1, 1, 1]"
116,[C&D4&v4&H0&0*&!R&z1:1](-[O&D1&v2&H1&0*&!R:2])-[C&D2&v4&H0&0*&!R&z1:3]>>[C&D1&v4&H1&0*&!R&z1:3].[C&D3&v4&H0&0*&!R&z1:1]=[O&D1&v2&H0&0*&!R:2],[217],[1]
117,[O&D1&v2&H0&0*&!R:1]=[C&D2&v4&H1&0*&!R&z1:2]~[*:3]~[O&D1&v2&H1&0*&!R:4].[O&D1&v2&H0&0*&!R:5]=[C&D3&v4&H0&0*&!R&z1:6]-[C&D3&v4&H1&0*&!R&z1:7]-[O&D1&v2&H1&0*&!R:8]>>[O&D1&v2&H0&0*&!R:8]=[C&D2&v4&H1&0*&!R&z1:7].[O&D1&v2&H0&0*&!R:5]=[C&D3&v4&H0&0*&!R&z1:6]-[C&D3&v4&H1&0*&!R&z1:2](-[O&D1&v2&H1&0*&!R:1])~[*:3]~[O&D1&v2&H1&0*&!R:4],[219],[1]
118,[C&D3&v4&H0&0*&!R&z2:1](-[O&D1&v2&H1&0*&!R:2])-[C&D3&v4&H0&0*&!R&z1:3]=[O&D1&v2&H0&0*&!R:4]>>[O&D1&v2&H0&0*&!R:2]=[C&D2&v4&H0&0*&!R&z2:1].[O&D1&v2&H0&0*&!R:4]=[C&D2&v4&H1&0*&!R&z1:3],"[220, 220, 220]","[2, 3, 1]"
119,[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z1:2]-[C&D3&v4&H1&0*&!R&z1:3]-[O&D1&v2&H1&0*&!R:4]>>[O&D1&v2&H0&0*&!R:1]=[C&D2&v4&H1&0*&!R&z1:2].[O&D1&v2&H0&0*&!R:4]=[C&D2&v4&H1&0*&!R&z1:3],[221],[1]
120,[*:1](~[O&D1&v2&H1&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4](-[O&D1&v2&H1&0*&!R:5])-[O&D2&v2&H0&0*&!R:6]-[P&D4&v5&H0&0*&!R:7](-[O&D1&v2&H1&0*&!R:8])-[O&D1&v2&H1&0*&!R:9].[C&D1&v4&H3&0*&!R&z0:10]-[C&D3&v4&H0&0*&!R&z1:11]=[O&D1&v2&H0&0*&!R:12].[O&D1&v2&H0&0*&!R:13]=[C&D3&v4&H0&0*&!R&z3:14](-[O&D1&v2&H1&0*&!R:15])-[O&D1&v2&H1&0*&!R:16]>>[*:1](~[O&D1&v2&H1&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4](-[O&D1&v2&H1&0*&!R:15])-[O&D1&v2&H1&0*&!R:5].[O&D1&v2&H0&0*&!R:13]=[C&D3&v4&H0&0*&!R&z2:14](-[O&D1&v2&H1&0*&!R:16])-[C&D2&v4&H2&0*&!R&z0:10]-[C&D3&v4&H0&0*&!R&z1:11]=[O&D1&v2&H0&0*&!R:12].[P&D4&v5&H0&0*&!R:7](-[O&D1&v2&H1&0*&!R:6])(-[O&D1&v2&H1&0*&!R:8])-[O&D1&v2&H1&0*&!R:9],"[223, 223]","[2, 1]"
121,[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[S&D2&v2&H0&0*&!R:3].[N&D1&v3&H2&0*&!R:4]>>[N&D2&v3&H1&0*&!R:4]-[C&D3&v4&H0&0*&!R&z2:1]=[O&D1&v2&H0&0*&!R:2].[S&D1&v2&H1&0*&!R:3],"[224, 344, 524, 525]","[1, 1, 1, 2]"
122,[C&D3&v4&H1&0*&!R&z1:1](-[N&D1&v3&H2&0*&!R:2])-[C&D3&v4&H0&0*&!R&z2:3]-[O&D1&v2&H1&0*&!R:4]>>[C&D2&v4&H2&0*&!R&z1:1]-[N&D1&v3&H2&0*&!R:2].[O&D1&v2&H0&0*&!R:4]=[C&D2&v4&H0&0*&!R&z2:3],[225],[1]
123,[C&D3&v4&H0&0*&R&z0:1]1=[C&D2&v4&H1&0*&R&z1:2]-[N&D3&v3&H0&0*&R:3]-[C&D2&v4&H1&0*&R&z1:4]=[C&D2&v4&H1&0*&R&z0:5]-[C&D2&v4&H2&0*&R&z0:6]-1.[C&D3&v4&H0&0*&R&z1:7]=[O&D1&v2&H0&0*&!R:8]>>[C&D3&v4&H1&0*&R&z1:7]-[O&D1&v2&H1&0*&!R:8].[c&D3&v4&H0&0*&R&z0:1]1:[c&D2&v4&H1&0*&R&z0:6]:[c&D2&v4&H1&0*&R&z0:5]:[c&D2&v4&H1&0*&R&z1:4]:[n&D3&v4&H0&+&R:3]:[c&D2&v4&H1&0*&R&z1:2]:1,[227],[1]
124,[C&D3&v4&H1&0*&R&z1:1](-[C&D2&v4&H2&0*&!R&z1:2]-[O&D1&v2&H1&0*&!R:3])-[C&D3&v4&H1&0*&R&z1:4]-[O&D1&v2&H1&0*&!R:5]>>[C&D3&v4&H1&0*&R&z1:1](-[C&D1&v4&H3&0*&!R&z0:2])-[C&D3&v4&H0&0*&R&z1:4]=[O&D1&v2&H0&0*&!R:5].[O&D0&v2&H2&0*&!R:3],"[228, 228]","[2, 1]"
125,[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[O&D1&v2&H1&0*&!R:3].[N&D1&v3&H2&0*&!R:4].[P&D4&v5&H0&0*&!R:5](-[O&D1&v2&H1&0*&!R:6])-[O&D2&v2&H0&0*&!R:7]~[*:8]~[*:9]~[*:10]~[O&D1&v2&H1&0*&!R:11]>>[*:8](~[O&D1&v2&H1&0*&!R:7])~[*:9]~[*:10]~[O&D1&v2&H1&0*&!R:11].[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[N&D2&v3&H1&0*&!R:4].[P&D4&v5&H0&0*&!R:5](-[O&D1&v2&H1&0*&!R:3])-[O&D1&v2&H1&0*&!R:6],[229],[1]
126,[*:1](~[O&D1&v2&H1&0*&!R:2])~[C&D3&v4&H1&0*&R&z1:3]-[O&D1&v2&H1&0*&!R:4].[C&D3&v4&H0&0*&!R&z2:5](=[O&D1&v2&H0&0*&!R:6])-[O&D1&v2&H1&0*&!R:7].[P&D4&v5&H0&0*&!R:8](=[O&D1&v2&H0&0*&!R:9])(-[O&D1&v2&H1&0*&!R:10])-[O&D2&v2&H0&0*&!R:11]~[*:12](~[O&D1&v2&H0&0*&!R:13])~[*:14]~[*:15]~[O&D1&v2&H1&0*&!R:16]>>[*:1](~[O&D1&v2&H1&0*&!R:2])~[C&D3&v4&H1&0*&R&z1:3]-[O&D2&v2&H0&0*&!R:7]-[C&D3&v4&H0&0*&!R&z2:5]=[O&D1&v2&H0&0*&!R:6].[O&D1&v2&H0&0*&!R:13]~[*:12](~[O&D1&v2&H1&0*&!R:11])~[*:14]~[*:15]~[O&D1&v2&H1&0*&!R:16].[P&D4&v5&H0&0*&!R:8](=[O&D1&v2&H0&0*&!R:9])(-[O&D1&v2&H1&0*&!R:4])-[O&D1&v2&H1&0*&!R:10],[235],[1]
127,[C&D3&v4&H0&0*&!R&z2:1](-[O&D1&v2&H1&0*&!R:2])-[C&D3&v4&H1&0*&!R&z1:3]-[C&D3&v4&H0&0*&!R&z1:4](=[O&D1&v2&H0&0*&!R:5])~[*:6]~[O&D1&v2&H1&0*&!R:7]>>[O&D1&v2&H0&0*&!R:2]=[C&D2&v4&H0&0*&!R&z2:1].[O&D1&v2&H0&0*&!R:5]=[C&D3&v4&H0&0*&!R&z1:4](-[C&D2&v4&H2&0*&!R&z1:3])~[*:6]~[O&D1&v2&H1&0*&!R:7],"[236, 236]","[1, 2]"
128,[N&D2&v3&H1&0*&!R:1]-[C&D3&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:3].[O&D0&v2&H2&0*&!R:4]>>[N&D1&v3&H2&0*&!R:1].[O&D1&v2&H0&0*&!R:3]=[C&D3&v4&H0&0*&!R&z2:2]-[O&D1&v2&H1&0*&!R:4],"[241, 288]","[1, 1]"
129,[O&D0&v2&H2&0*&!R:1].[O&D2&v2&H0&0*&!R:2]-[P&D4&v5&H0&0*&!R:3](=[O&D1&v2&H0&0*&!R:4])-[O&D2&v2&H0&0*&!R:5]-[C&D2&v4&H2&0*&!R&z1:6]>>[C&D2&v4&H2&0*&!R&z1:6]-[O&D1&v2&H1&0*&!R:1].[O&D2&v2&H0&0*&!R:2]-[P&D4&v5&H0&0*&!R:3](=[O&D1&v2&H0&0*&!R:4])-[O&D1&v2&H1&0*&!R:5],[242],[1]
130,[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&!R&z1:2]-[C&D2&v4&H2&0*&!R&z0:3]>>[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&!R&z1:3]-[C&D2&v4&H2&0*&!R&z0:2],"[245, 388, 388]","[1, 1, 1]"
131,[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&!R&z1:2]-[C&D2&v4&H2&0*&!R&z0:3]-[c&D3&v4&H0&0*&R&z0:4]:[c&D2&v4&H1&0*&R&z0:5]>>[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&!R&z1:3](-[C&D2&v4&H2&0*&!R&z0:2])-[c&D3&v4&H0&0*&R&z0:4]:[c&D2&v4&H1&0*&R&z0:5],[245],[2]
132,[P&D4&v5&H0&0*&!R:1](-[O&D1&v2&H1&0*&!R:2])-[O&D2&v2&H0&0*&!R:3]-[P&D4&v5&H0&0*&!R:4](=[O&D1&v2&H0&0*&!R:5])(-[O&D1&v2&H1&0*&!R:6])-[O&D1&v2&H1&0*&!R:7].[c&D3&v4&H0&0*&R&z1:8]-[O&D1&v2&H1&0*&!R:9]>>[P&D4&v5&H0&0*&!R:1](-[O&D1&v2&H1&0*&!R:9])-[O&D1&v2&H1&0*&!R:2].[c&D3&v4&H0&0*&R&z1:8]-[O&D2&v2&H0&0*&!R:3]-[P&D4&v5&H0&0*&!R:4](=[O&D1&v2&H0&0*&!R:5])(-[O&D1&v2&H1&0*&!R:6])-[O&D1&v2&H1&0*&!R:7],[246],[1]
133,[P&D4&v5&H0&0*&!R:1]-[O&D1&v2&H1&0*&!R:2].[c&D3&v4&H0&0*&R&z1:3]-[O&D2&v2&H0&0*&!R:4]>>[P&D4&v5&H0&0*&!R:1]-[O&D2&v2&H0&0*&!R:4].[c&D3&v4&H0&0*&R&z1:3]-[O&D1&v2&H1&0*&!R:2],"[246, 246]","[1, 2]"
134,[P&D4&v5&H0&0*&!R:1](-[O&D1&v2&H1&0*&!R:2])-[O&D2&v2&H0&0*&!R:3]-[P&D4&v5&H0&0*&!R:4](=[O&D1&v2&H0&0*&!R:5])-[O&D1&v2&H1&0*&!R:6].[c&D3&v4&H0&0*&R&z1:7]-[O&D1&v2&H1&0*&!R:8]>>[P&D4&v5&H0&0*&!R:1](-[O&D1&v2&H1&0*&!R:8])-[O&D1&v2&H1&0*&!R:2].[c&D3&v4&H0&0*&R&z1:7]-[O&D2&v2&H0&0*&!R:3]-[P&D4&v5&H0&0*&!R:4](=[O&D1&v2&H0&0*&!R:5])-[O&D1&v2&H1&0*&!R:6],[246],[2]
135,[C&D3&v4&H0&0*&!R&z1:1]=[O&D1&v2&H0&0*&!R:2].[C&D3&v4&H1&0*&!R&z1:3]-[N&D1&v3&H2&0*&!R:4]>>[C&D3&v4&H0&0*&!R&z1:3]=[O&D1&v2&H0&0*&!R:2].[C&D3&v4&H1&0*&!R&z1:1]-[N&D1&v3&H2&0*&!R:4],[249],[1]
